start,end,name,index
22.5,25.78,a_walk,4
25.81,26.19,p_stand,10
26.21,27.16,a_walk,4
27.18,28.61,t_turn,19
28.62,30.95,p_stand,10
30.97,33.65,a_walk,4
33.66,34.0,p_stand,10
34.02,34.48,a_jump,2
34.51,34.93,p_stand,10
34.945,35.345,a_jump,2
35.36,38.59,p_stand,10
38.61,39.79,t_turn,19
39.79,41.57,a_walk,4
41.58,42.29,p_stand,10
42.3,43.6,t_turn,19
43.62,46.68,a_walk,4
46.69,53.56,p_stand,10
53.59,54.73,t_turn,19
54.74,55.98,a_walk,4
56.01,57.26,p_stand,10
57.27,58.21,t_turn,19
58.22,59.74,a_walk,4
59.77,63.99,p_stand,10
63.99,64.86,t_turn,19
64.88,66.7,a_walk,4
66.72,68.81,p_stand,10
68.83,71.4,t_turn,19
71.41,72.43,t_bend,11
72.45,76.1,p_bent,5
76.12,76.79,t_straighten,18
76.81,81.65,p_stand,10
81.67,83.32,t_stand_kneel,16
83.36,88.04,p_kneel,6
88.04,89.09,t_kneel_stand,12
89.11,93.56,p_stand,10
93.58,94.35,t_turn,19
94.36,95.85,t_stand_sit,17
95.87,99.13,p_sit,8
99.15,101.02,t_sit_lie,14
101.04,102.95,p_lie,7
102.97,104.25,t_turn,19
104.25,109.66,p_lie,7
109.67,110.55,t_turn,19
110.58,114.67,p_lie,7
114.68,115.54,t_lie_sit,13
115.55,120.35,p_sit,8
120.36,121.49,t_sit_stand,15
121.5,127.87,p_stand,10
127.9,128.69,t_bend,11
128.71,132.32,p_bent,5
132.33,133.01,t_straighten,18
133.01,137.74,p_stand,10
137.75,138.99,t_stand_kneel,16
139.01,144.16,p_kneel,6
144.17,145.06,t_kneel_stand,12
145.08,150.64,p_stand,10
150.66,151.86,t_turn,19
151.88,153.47,t_stand_sit,17
153.48,157.17,p_sit,8
157.2,159.03,t_sit_lie,14
159.04,163.03,p_lie,7
163.05,164.13,t_turn,19
164.15,169.87,p_lie,7
169.89,170.91,t_turn,19
170.92,176.1,p_lie,7
176.12,177.5,t_lie_sit,13
177.53,181.15,p_sit,8
181.18,182.29,t_sit_stand,15
182.31,189.29,p_stand,10
189.315,190.285,t_bend,11
190.29,194.45,p_bent,5
194.47,195.34,t_straighten,18
195.34,199.52,p_stand,10
199.54,200.6,t_stand_kneel,16
200.62,205.6,p_kneel,6
205.6,206.67,t_kneel_stand,12
206.68,210.7,p_stand,10
210.71,213.06,t_stand_sit,17
213.08,217.47,p_sit,8
217.5,219.05,t_sit_lie,14
219.06,221.72,p_lie,7
221.74,223.13,t_turn,19
223.14,227.98,p_lie,7
228.0,229.78,t_turn,19
229.78,233.77,p_lie,7
233.78,235.41,t_lie_sit,13
235.42,239.155,p_sit,8
239.155,240.725,t_sit_stand,15
240.73,242.87,a_walk,4
242.88,248.8,p_stand,10
248.82,249.93,t_bend,11
249.94,253.55,p_bent,5
253.56,254.29,t_straighten,18
254.31,258.98,p_stand,10
258.99,260.76,t_stand_kneel,16
260.77,264.26,p_kneel,6
264.26,265.86,t_kneel_stand,12
265.89,270.54,p_stand,10
270.54,272.17,t_stand_sit,17
272.19,276.9,p_sit,8
276.9,279.58,t_turn,19
279.6,282.99,p_lie,7
283.01,284.13,t_turn,19
284.14,288.09,p_lie,7
288.1,290.2,t_turn,19
290.2,294.57,p_lie,7
294.58,296.36,t_lie_sit,13
296.36,300.68,p_sit,8
300.7,303.79,t_sit_stand,15
303.79,310.4,p_stand,10
310.42,311.38,t_bend,11
311.39,313.21,p_bent,5
313.21,314.2,t_straighten,18
314.22,318.67,p_stand,10
318.68,319.91,t_stand_kneel,16
319.93,323.77,p_kneel,6
323.78,324.63,t_kneel_stand,12
324.64,328.6,p_stand,10
328.62,331.36,t_stand_sit,17
331.365,334.705,p_sit,8
334.71,336.1,t_sit_lie,14
336.11,339.97,p_lie,7
339.98,340.92,t_turn,19
340.94,346.18,p_lie,7
346.2,348.51,t_turn,19
348.51,351.54,p_lie,7
351.55,353.11,t_lie_sit,13
353.12,357.01,p_sit,8
357.01,358.27,t_sit_stand,15
358.29,361.6,a_walk,4
361.62,367.2,p_stand,10
367.22,370.39,a_walk,4
370.41,374.88,p_stand,10
374.88,376.58,a_walk,4
376.61,377.74,p_stand,10
377.74,380.52,a_walk,4
380.53,383.93,a_descend,1
383.94,388.52,a_walk,4
388.54,393.52,p_stand,10
393.53,394.64,t_turn,19
394.65,396.06,p_stand,10
396.06,396.48,t_turn,19
396.5,405.19,p_stand,10
405.22,406.68,t_turn,19
406.7,411.19,p_stand,10
411.19,413.03,a_walk,4
413.035,418.515,p_stand,10
418.52,419.93,t_bend,11
419.94,421.5,p_bent,5
421.505,422.745,t_straighten,18
422.75,426.01,p_stand,10
426.025,427.185,t_turn,19
427.19,429.05,a_walk,4
429.065,430.075,p_stand,10
430.085,431.54,t_turn,19
431.54,433.32,a_walk,4
433.325,435.86,t_bend,11
435.86,437.66,p_bent,5
437.675,438.905,t_straighten,18
438.915,443.335,a_walk,4
443.34,445.1,t_turn,19
445.105,447.305,a_walk,4
447.31,449.18,t_bend,11
